date(dd-mm-yyy),time(hh:mm:ss),channel(1-40),intensity(%),interval(sec.)
1-1-2000,4:48:47,8,19,0
1-1-2000,4:48:47,18,19,0
1-1-2000,4:48:47,28,19,0
1-1-2000,4:48:47,38,19,0
1-1-2000,4:48:47,10,19,0
1-1-2000,4:48:47,20,19,0
1-1-2000,4:48:47,30,19,0
1-1-2000,4:48:47,40,19,0
1-1-2000,4:48:52,1,18,0
1-1-2000,4:48:52,11,18,0
1-1-2000,4:48:52,21,18,0
1-1-2000,4:48:52,31,18,0
1-1-2000,4:48:52,3,18,0
1-1-2000,4:48:52,13,18,0
1-1-2000,4:48:52,23,18,0
1-1-2000,4:48:52,33,18,0
1-1-2000,4:48:52,8,18,0
1-1-2000,4:48:52,18,18,0
1-1-2000,4:48:52,28,18,0
1-1-2000,4:48:52,38,18,0
1-1-2000,4:48:52,10,18,0
1-1-2000,4:48:52,20,18,0
1-1-2000,4:48:52,30,18,0
1-1-2000,4:48:52,40,18,0
1-1-2000,4:48:56,1,17,0
1-1-2000,4:48:56,11,17,0
1-1-2000,4:48:56,21,17,0
1-1-2000,4:48:56,31,17,0
1-1-2000,4:48:56,3,17,0
1-1-2000,4:48:56,13,17,0
1-1-2000,4:48:56,23,17,0
1-1-2000,4:48:56,33,17,0
1-1-2000,4:48:56,8,17,0
1-1-2000,4:48:56,18,17,0
1-1-2000,4:48:56,28,17,0
1-1-2000,4:48:56,38,17,0
1-1-2000,4:48:56,10,17,0
1-1-2000,4:48:56,20,17,0
1-1-2000,4:48:56,30,17,0
1-1-2000,4:48:56,40,17,0
1-1-2000,4:49:1,1,16,0
1-1-2000,4:49:1,11,16,0
1-1-2000,4:49:1,21,16,0
1-1-2000,4:49:1,31,16,0
1-1-2000,4:49:1,3,16,0
1-1-2000,4:49:1,13,16,0
1-1-2000,4:49:1,23,16,0
1-1-2000,4:49:1,33,16,0
1-1-2000,4:49:1,8,16,0
1-1-2000,4:49:1,18,16,0
1-1-2000,4:49:1,28,16,0
1-1-2000,4:49:1,38,16,0
1-1-2000,4:49:1,10,16,0
1-1-2000,4:49:1,20,16,0
1-1-2000,4:49:1,30,16,0
1-1-2000,4:49:1,40,16,0
1-1-2000,4:49:6,1,15,0
1-1-2000,4:49:6,11,15,0
1-1-2000,4:49:6,21,15,0
1-1-2000,4:49:6,31,15,0
1-1-2000,4:49:6,3,15,0
1-1-2000,4:49:6,13,15,0
1-1-2000,4:49:6,23,15,0
1-1-2000,4:49:6,33,15,0
1-1-2000,4:49:6,8,15,0
1-1-2000,4:49:6,18,15,0
1-1-2000,4:49:6,28,15,0
1-1-2000,4:49:6,38,15,0
1-1-2000,4:49:6,10,15,0
1-1-2000,4:49:6,20,15,0
1-1-2000,4:49:6,30,15,0
1-1-2000,4:49:6,40,15,0
1-1-2000,4:49:10,1,14,0
1-1-2000,4:49:10,11,14,0
1-1-2000,4:49:10,21,14,0
1-1-2000,4:49:10,31,14,0
1-1-2000,4:49:10,3,14,0
1-1-2000,4:49:10,13,14,0
1-1-2000,4:49:10,23,14,0
1-1-2000,4:49:10,33,14,0
1-1-2000,4:49:10,8,14,0
1-1-2000,4:49:10,18,14,0
1-1-2000,4:49:10,28,14,0
1-1-2000,4:49:10,38,14,0
1-1-2000,4:49:10,10,14,0
1-1-2000,4:49:10,20,14,0
1-1-2000,4:49:10,30,14,0
1-1-2000,4:49:10,40,14,0
1-1-2000,4:49:15,1,13,0
1-1-2000,4:49:15,11,13,0
1-1-2000,4:49:15,21,13,0
1-1-2000,4:49:15,31,13,0
1-1-2000,4:49:15,3,13,0
1-1-2000,4:49:15,13,13,0
1-1-2000,4:49:15,23,13,0
1-1-2000,4:49:15,33,13,0
1-1-2000,4:49:15,8,13,0
1-1-2000,4:49:15,18,13,0
1-1-2000,4:49:15,28,13,0
1-1-2000,4:49:15,38,13,0
1-1-2000,4:49:15,10,13,0
1-1-2000,4:49:15,20,13,0
1-1-2000,4:49:15,30,13,0
1-1-2000,4:49:15,40,13,0
1-1-2000,4:49:19,1,12,0
1-1-2000,4:49:19,11,12,0
1-1-2000,4:49:19,21,12,0
1-1-2000,4:49:19,31,12,0
1-1-2000,4:49:19,3,12,0
1-1-2000,4:49:19,13,12,0
1-1-2000,4:49:19,23,12,0
1-1-2000,4:49:19,33,12,0
1-1-2000,4:49:19,8,12,0
1-1-2000,4:49:19,18,12,0
1-1-2000,4:49:19,28,12,0
1-1-2000,4:49:19,38,12,0
1-1-2000,4:49:19,10,12,0
1-1-2000,4:49:19,20,12,0
1-1-2000,4:49:19,30,12,0
1-1-2000,4:49:19,40,12,0
1-1-2000,4:49:24,1,11,0
1-1-2000,4:49:24,11,11,0
1-1-2000,4:49:24,21,11,0
1-1-2000,4:49:24,31,11,0
1-1-2000,4:49:24,3,11,0
1-1-2000,4:49:24,13,11,0
1-1-2000,4:49:24,23,11,0
1-1-2000,4:49:24,33,11,0
1-1-2000,4:49:24,8,11,0
1-1-2000,4:49:24,18,11,0
1-1-2000,4:49:24,28,11,0
1-1-2000,4:49:24,38,11,0
1-1-2000,4:49:24,10,11,0
1-1-2000,4:49:24,20,11,0
1-1-2000,4:49:24,30,11,0
1-1-2000,4:49:24,40,11,0
1-1-2000,4:49:29,1,10,0
1-1-2000,4:49:29,11,10,0
1-1-2000,4:49:29,21,10,0
1-1-2000,4:49:29,31,10,0
1-1-2000,4:49:29,3,10,0
1-1-2000,4:49:29,13,10,0
1-1-2000,4:49:29,23,10,0
1-1-2000,4:49:29,33,10,0
1-1-2000,4:49:29,8,10,0
1-1-2000,4:49:29,18,10,0
1-1-2000,4:49:29,28,10,0
1-1-2000,4:49:29,38,10,0
1-1-2000,4:49:29,10,10,0
1-1-2000,4:49:29,20,10,0
1-1-2000,4:49:29,30,10,0
1-1-2000,4:49:29,40,10,0
1-1-2000,4:49:33,1,9,0
1-1-2000,4:49:33,11,9,0
1-1-2000,4:49:33,21,9,0
1-1-2000,4:49:33,31,9,0
1-1-2000,4:49:33,3,9,0
1-1-2000,4:49:33,13,9,0
1-1-2000,4:49:33,23,9,0
1-1-2000,4:49:33,33,9,0
1-1-2000,4:49:33,8,9,0
1-1-2000,4:49:33,18,9,0
1-1-2000,4:49:33,28,9,0
1-1-2000,4:49:33,38,9,0
1-1-2000,4:49:33,10,9,0
1-1-2000,4:49:33,20,9,0
1-1-2000,4:49:33,30,9,0
1-1-2000,4:49:33,40,9,0
1-1-2000,4:49:38,1,8,0
1-1-2000,4:49:38,11,8,0
1-1-2000,4:49:38,21,8,0
1-1-2000,4:49:38,31,8,0
1-1-2000,4:49:38,3,8,0
1-1-2000,4:49:38,13,8,0
1-1-2000,4:49:38,23,8,0
1-1-2000,4:49:38,33,8,0
1-1-2000,4:49:38,8,8,0
1-1-2000,4:49:38,18,8,0
1-1-2000,4:49:38,28,8,0
1-1-2000,4:49:38,38,8,0
1-1-2000,4:49:38,10,8,0
1-1-2000,4:49:38,20,8,0
1-1-2000,4:49:38,30,8,0
1-1-2000,4:49:38,40,8,0
1-1-2000,4:49:43,1,7,0
1-1-2000,4:49:43,11,7,0
1-1-2000,4:49:43,21,7,0
1-1-2000,4:49:43,31,7,0
1-1-2000,4:49:43,3,7,0
1-1-2000,4:49:43,13,7,0
1-1-2000,4:49:43,23,7,0
1-1-2000,4:49:43,33,7,0
1-1-2000,4:49:43,8,7,0
1-1-2000,4:49:43,18,7,0
1-1-2000,4:49:43,28,7,0
1-1-2000,4:49:43,38,7,0
1-1-2000,4:49:43,10,7,0
1-1-2000,4:49:43,20,7,0
1-1-2000,4:49:43,30,7,0
1-1-2000,4:49:43,40,7,0
1-1-2000,4:49:47,1,6,0
1-1-2000,4:49:47,11,6,0
1-1-2000,4:49:47,21,6,0
1-1-2000,4:49:47,31,6,0
1-1-2000,4:49:47,3,6,0
1-1-2000,4:49:47,13,6,0
1-1-2000,4:49:47,23,6,0
1-1-2000,4:49:47,33,6,0
1-1-2000,4:49:47,8,6,0
1-1-2000,4:49:47,18,6,0
1-1-2000,4:49:47,28,6,0
1-1-2000,4:49:47,38,6,0
1-1-2000,4:49:47,10,6,0
1-1-2000,4:49:47,20,6,0
1-1-2000,4:49:47,30,6,0
1-1-2000,4:49:47,40,6,0
1-1-2000,4:49:52,1,5,0
1-1-2000,4:49:52,11,5,0
1-1-2000,4:49:52,21,5,0
1-1-2000,4:49:52,31,5,0
1-1-2000,4:49:52,3,5,0
1-1-2000,4:49:52,13,5,0
1-1-2000,4:49:52,23,5,0
1-1-2000,4:49:52,33,5,0
1-1-2000,4:49:52,8,5,0
1-1-2000,4:49:52,18,5,0
1-1-2000,4:49:52,28,5,0
1-1-2000,4:49:52,38,5,0
1-1-2000,4:49:52,10,5,0
1-1-2000,4:49:52,20,5,0
1-1-2000,4:49:52,30,5,0
1-1-2000,4:49:52,40,5,0
1-1-2000,4:49:56,1,4,0
1-1-2000,4:49:56,11,4,0
1-1-2000,4:49:56,21,4,0
1-1-2000,4:49:56,31,4,0
1-1-2000,4:49:56,3,4,0
1-1-2000,4:49:56,13,4,0
1-1-2000,4:49:56,23,4,0
1-1-2000,4:49:56,33,4,0
1-1-2000,4:49:56,8,4,0
1-1-2000,4:49:56,18,4,0
1-1-2000,4:49:56,28,4,0
1-1-2000,4:49:56,38,4,0
1-1-2000,4:49:56,10,4,0
1-1-2000,4:49:56,20,4,0
1-1-2000,4:49:56,30,4,0
1-1-2000,4:49:56,40,4,0
1-1-2000,4:50:1,1,3,0
1-1-2000,4:50:1,11,3,0
1-1-2000,4:50:1,21,3,0
1-1-2000,4:50:1,31,3,0
1-1-2000,4:50:1,3,3,0
1-1-2000,4:50:1,13,3,0
1-1-2000,4:50:1,23,3,0
1-1-2000,4:50:1,33,3,0
1-1-2000,4:50:1,8,3,0
1-1-2000,4:50:1,18,3,0
1-1-2000,4:50:1,28,3,0
1-1-2000,4:50:1,38,3,0
1-1-2000,4:50:1,10,3,0
1-1-2000,4:50:1,20,3,0
1-1-2000,4:50:1,30,3,0
1-1-2000,4:50:1,40,3,0
1-1-2000,4:50:6,1,4,0
1-1-2000,4:50:6,11,4,0
1-1-2000,4:50:6,21,4,0
1-1-2000,4:50:6,31,4,0
1-1-2000,4:50:6,3,4,0
1-1-2000,4:50:6,13,4,0
1-1-2000,4:50:6,23,4,0
1-1-2000,4:50:6,33,4,0
1-1-2000,4:50:6,8,4,0
1-1-2000,4:50:6,18,4,0
1-1-2000,4:50:6,28,4,0
1-1-2000,4:50:6,38,4,0
1-1-2000,4:50:6,10,4,0
1-1-2000,4:50:6,20,4,0
